Date,Open,High,Low,Close,Adj Close,Volume
11/05/21,599.24,627.10,595.60,617.20,617.20,46503900
12/05/21,602.49,620.41,586.77,589.89,589.89,33823600
13/05/21,601.54,606.46,559.65,571.69,571.69,44184900
14/05/21,583.41,592.87,570.46,589.74,589.74,33370900
17/05/21,575.55,589.73,561.20,576.83,576.83,32390400
18/05/21,568.00,596.25,563.38,577.87,577.87,36830600
19/05/21,552.55,566.21,546.98,563.46,563.46,39578400
20/05/21,575.00,588.85,571.07,586.78,586.78,30821100
21/05/21,596.11,596.68,580.00,580.88,580.88,26030600
24/05/21,581.60,614.48,573.65,606.44,606.44,34558100
25/05/21,607.31,613.99,595.71,604.69,604.69,28005900
26/05/21,607.56,626.17,601.50,619.13,619.13,28639300
27/05/21,620.24,631.13,616.21,630.85,630.85,26370600
28/05/21,628.50,635.59,622.38,625.22,625.22,22737000
01/06/21,627.80,633.80,620.55,623.90,623.90,18084900
02/06/21,620.13,623.36,599.14,605.12,605.12,23302800
03/06/21,601.80,604.55,571.22,572.84,572.84,30111900
04/06/21,579.71,600.61,577.20,599.05,599.05,24036900
07/06/21,591.83,610.00,582.88,605.13,605.13,22543700
08/06/21,623.01,623.09,595.50,603.59,603.59,26053400
09/06/21,602.17,611.79,597.63,598.78,598.78,16584600
10/06/21,603.88,616.59,600.50,610.12,610.12,23919600
11/06/21,610.23,612.56,601.52,609.89,609.89,16205300
14/06/21,612.23,625.49,609.18,617.69,617.69,20424000
15/06/21,616.69,616.79,598.23,599.36,599.36,17764100
16/06/21,597.54,608.50,593.50,604.87,604.87,22144100
17/06/21,601.89,621.47,601.34,616.60,616.60,22701400
18/06/21,613.37,628.35,611.80,623.31,623.31,24560900
21/06/21,624.48,631.39,608.88,620.83,620.83,24812700
22/06/21,618.25,628.57,615.50,623.71,623.71,19158900
23/06/21,632.00,657.20,630.04,656.57,656.57,31099200
24/06/21,674.99,697.62,667.61,679.82,679.82,45982400
25/06/21,689.58,693.81,668.70,671.87,671.87,32496700
28/06/21,671.64,694.70,670.32,688.72,688.72,21628200
29/06/21,684.65,687.51,675.89,680.76,680.76,17381300
30/06/21,679.77,692.81,678.14,679.70,679.70,18924900
01/07/21,683.92,687.99,672.80,677.92,677.92,18634500
02/07/21,678.98,700.00,673.26,678.90,678.90,27054500
06/07/21,681.71,684.00,651.40,659.58,659.58,23284500
07/07/21,664.27,665.70,638.32,644.65,644.65,18792000
08/07/21,628.37,654.43,620.46,652.81,652.81,22773300
09/07/21,653.18,658.91,644.69,656.95,656.95,18140500
12/07/21,662.20,687.24,662.16,685.70,685.70,25927000
13/07/21,686.32,693.28,666.30,668.54,668.54,20966100
